                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.6579,                 3.5392,                 1.9999,                 1.0898,                0.16212,                0.09869,                0.07572,                0.02854,                0.10492,                0.07479,                0.04276,                0.01339,                 2.9666,                 3.7079,                 2.4074,                 1.1441,              0.0099366,              0.0099366,              0.0099366
                     35,                 2.6212,                  3.552,                 1.9174,                 1.0973,                0.18961,                 0.1118,                 0.0881,                0.03047,                0.14534,                0.07247,                0.04351,                 0.0136,                 2.9865,                 3.7265,                 2.5032,                  1.154,              0.0099347,              0.0099347,              0.0099347
                     36,                 2.5935,                 3.4474,                 1.9556,                 1.0973,                0.25633,                0.09461,                0.08727,                0.03109,                0.15553,                0.07787,                0.04993,                0.01507,                 2.9736,                 3.7939,                 2.3298,                 1.1587,              0.0099327,              0.0099327,              0.0099327
                     37,                 2.5988,                 3.3791,                 1.9386,                 1.0782,                0.24659,                0.10254,                 0.0859,                 0.0322,                0.15562,                0.07325,                0.04743,                0.01313,                 2.9842,                 3.8923,                 2.4024,                 1.1704,              0.0099307,              0.0099307,              0.0099307
                     38,                 2.5592,                 3.5529,                 1.8625,                 1.0783,                0.23666,                0.11257,                0.08733,                0.03351,                0.16489,                0.08327,                0.05115,                0.01278,                 2.9291,                 3.7609,                 2.3022,                 1.1547,              0.0099287,              0.0099287,              0.0099287
                     39,                 2.5937,                 3.5122,                 1.9494,                 1.0687,                 0.2039,                0.12413,                 0.0925,                0.03429,                0.10299,                0.08096,                0.04157,                0.01201,                 2.9168,                 3.6867,                 2.2851,                 1.1395,              0.0099267,              0.0099267,              0.0099267
                     40,                 2.5059,                 3.4697,                 1.8486,                 1.0869,                 0.2244,                0.12259,                0.09912,                0.03962,                0.14688,                0.09175,                0.05375,                0.01526,                 2.8361,                 3.6127,                 2.3322,                 1.1287,              0.0099248,              0.0099248,              0.0099248
                     41,                 2.5591,                 3.4903,                 1.8615,                 1.0622,                0.22818,                0.12081,                0.09785,                0.03904,                0.15083,                0.09175,                0.05431,                0.01568,                 2.8581,                  3.582,                  2.358,                 1.1411,              0.0099228,              0.0099228,              0.0099228
                     42,                 2.5965,                 3.4699,                 1.9415,                 1.0432,                0.19716,                0.11334,                0.08331,                0.03334,                0.12661,                 0.0825,                0.05082,                 0.0144,                 2.9049,                 3.6566,                 2.4263,                 1.1402,              0.0099208,              0.0099208,              0.0099208
                     43,                 2.5842,                 3.4812,                 1.8645,                 1.0512,                  0.235,                0.12259,                0.09297,                0.03938,                0.16631,                0.09782,                0.05981,                0.01772,                 2.8454,                 3.5804,                 2.3011,                 1.1387,              0.0099188,              0.0099188,              0.0099188
                     44,                 2.4923,                 3.3815,                 1.7735,                 1.0533,                0.22547,                0.12105,                0.10227,                0.03983,                0.17828,                0.10409,                0.07197,                0.02249,                 2.8544,                 3.6021,                 2.3222,                 1.1371,              0.0099168,              0.0099168,              0.0099168
